"est","lb","ub","state","candidate","tossup"
-0.509672178186781,-0.553064622095709,-0.466279734277854,"Alabama","Trump",0
-0.275080600558768,-0.34005728387002,-0.210103917247516,"Alaska","Trump",0
-0.0707095255921626,-0.130572673951144,-0.0108463772331817,"Arizona","Trump",0
-0.600125599379697,-0.802550622585716,-0.397700576173678,"Arkansas","Trump",0
0.603149713587516,0.557454175048273,0.648845252126758,"California","Biden",0
0.203261745050192,0.104322429648775,0.30220106045161,"Colorado","Biden",0
0.472709295688829,0.370756638794596,0.574661952583061,"Connecticut","Biden",0
0.375898144934408,0.264807492738248,0.486988797130568,"Delaware","Biden",0
2.75495679483503,2.25845094332483,3.25146264634523,"District of Columbia","Biden",0
0.0132837534510547,-0.0235419205808168,0.0501094274829261,"Florida","Biden",1
-0.0727552656917221,-0.153671284606399,0.00816075322295495,"Georgia","Trump",1
0.602864111108253,0.497883994073729,0.707844228142777,"Hawaii","Biden",0
-0.56538250185552,-0.734243100703579,-0.39652190300746,"Idaho","Trump",0
0.264946937943588,0.222165322553452,0.307728553333723,"Illinois","Biden",0
-0.320192346334857,-0.384913369989706,-0.255471322680008,"Indiana","Trump",0
-0.0851591189762309,-0.118405506485899,-0.0519127314665632,"Iowa","Trump",0
-0.417712155676534,-0.59521694491179,-0.240207366441278,"Kansas","Trump",0
-0.491769271305633,-0.542795010894247,-0.440743531717019,"Kentucky","Trump",0
-0.590292741851686,-0.765213334442019,-0.415372149261353,"Louisiana","Trump",0
0.200018087113643,0.163126237466871,0.236909936760415,"Maine","Biden",0
0.385139633926234,0.349807908965266,0.420471358887202,"Maine CD-1","Biden",0
-0.039416454829852,-0.0788969525976895,6.40429379854396e-05,"Maine CD-2","Trump",1
0.692362575148924,0.620403273386006,0.764321876911842,"Maryland","Biden",0
0.755628559073638,0.675260378878065,0.835996739269211,"Massachusetts","Biden",0
0.0324057159845013,-0.0276980981971255,0.0925095301661281,"Michigan","Biden",1
0.0959322729837983,0.0647401118593111,0.127124434108285,"Minnesota","Biden",0
-0.436118234095595,-0.503299921506939,-0.368936546684251,"Mississippi","Trump",0
-0.302162415046358,-0.355008306292514,-0.249316523800202,"Missouri","Trump",0
-0.206421462678757,-0.243748103248184,-0.169094822109329,"Montana","Trump",0
-0.371583529606489,-0.520299378906792,-0.222867680306185,"Nebraska","Trump",0
0.0152659983027691,-0.0152201204047349,0.045752117010273,"Nebraska CD-2","Biden",1
0.021072224787627,-0.0320792899695254,0.0742237395447794,"Nevada","Biden",1
0.0671473659653834,-0.0541168583972255,0.188411590327992,"New Hampshire","Biden",1
0.350380498626176,0.305417951227557,0.395343046024796,"New Jersey","Biden",0
0.198159571795489,0.11313936451664,0.283179779074339,"New Mexico","Biden",0
0.541061525045819,0.500359889374266,0.581763160717372,"New York","Biden",0
-0.084094061074053,-0.13554597261115,-0.0326421495369564,"North Carolina","Trump",0
-0.512684192616612,-0.621475779203791,-0.403892606029433,"North Dakota","Trump",0
-0.0833061677817493,-0.138255583995735,-0.0283567515677636,"Ohio","Trump",0
-0.740398650433444,-0.917926472969581,-0.562870827897307,"Oklahoma","Trump",0
0.355846172299552,0.274853408672602,0.436838935926503,"Oregon","Biden",0
0.00962030453350909,-0.0105249586952811,0.0297655677622993,"Pennsylvania","Biden",1
0.460154673701069,0.223978237946387,0.69633110945575,"Rhode Island","Biden",0
-0.250824748121978,-0.381755772779736,-0.119893723464219,"South Carolina","Trump",0
-0.637927991721028,-0.734342900153889,-0.541513083288167,"South Dakota","Trump",0
-0.33282463040852,-0.385612725971939,-0.280036534845101,"Tennessee","Trump",0
-0.105503936742968,-0.143596926163259,-0.067410947322676,"Texas","Trump",0
-0.381806009357236,-0.465665525783293,-0.29794649293118,"Utah","Trump",0
0.837775750199884,0.608014570648308,1.06753692975146,"Vermont","Biden",0
0.19248795946751,0.120185406597188,0.264790512337832,"Virginia","Biden",0
0.482675227677541,0.412175126784204,0.553175328570877,"Washington","Biden",0
-0.79281976857894,-0.965309909753517,-0.620329627404363,"West Virginia","Trump",0
0.0148852567969222,-0.0309584883347462,0.0607290019285907,"Wisconsin","Biden",1
-0.774126675735774,-0.897420172189583,-0.650833179281965,"Wyoming","Trump",0
